person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
25,150000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,5000,13.16,0,0.03,Y,4
24,40800,MORTGAGE,0.0,MEDICAL,B,8000,11.99,0,0.2,N,4
35,72000,MORTGAGE,3.0,MEDICAL,A,12800,6.62,0,0.18,N,10
27,65000,RENT,11.0,VENTURE,B,20000,,1,0.31,N,5
31,40000,RENT,2.0,VENTURE,C,10000,11.41,0,0.25,N,5
26,53000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,2800,6.03,0,0.05,N,4
24,114000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15000,9.76,0,0.13,N,3
21,35100,RENT,1.0,EDUCATION,A,3500,5.79,0,0.1,N,2
26,44000,MORTGAGE,3.0,EDUCATION,A,22500,,1,0.51,N,3
37,44000,RENT,0.0,PERSONAL,B,1700,10.59,1,0.04,N,17
25,55800,MORTGAGE,9.0,MEDICAL,C,3500,14.17,0,0.06,Y,3
37,49500,RENT,0.0,MEDICAL,A,10000,7.66,0,0.2,N,14
28,116000,MORTGAGE,12.0,VENTURE,A,14000,7.51,0,0.12,N,6
28,83137,MORTGAGE,12.0,MEDICAL,C,3600,14.72,0,0.04,N,9
29,30720,RENT,2.0,MEDICAL,A,3500,5.99,0,0.11,N,8
34,46800,MORTGAGE,1.0,HOMEIMPROVEMENT,B,5525,11.11,0,0.12,N,6
30,114000,MORTGAGE,14.0,HOMEIMPROVEMENT,A,15000,6.54,1,0.13,N,6
25,18000,RENT,3.0,EDUCATION,C,8500,10.28,1,0.47,Y,4
28,44000,RENT,0.0,HOMEIMPROVEMENT,C,5000,12.99,1,0.11,Y,5
23,38000,RENT,0.0,MEDICAL,A,7500,7.88,0,0.2,N,4
43,55000,RENT,3.0,DEBTCONSOLIDATION,B,11750,10.99,0,0.21,N,16
25,55000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,17000,6.91,0,0.31,N,4
25,52000,RENT,2.0,HOMEIMPROVEMENT,B,7000,10.59,0,0.13,N,2
33,37000,MORTGAGE,2.0,MEDICAL,B,13000,10.36,0,0.35,N,9
23,22800,MORTGAGE,3.0,PERSONAL,A,4800,5.79,0,0.21,N,2
28,55000,RENT,6.0,MEDICAL,C,12000,14.27,0,0.22,Y,10
22,48000,MORTGAGE,3.0,VENTURE,B,8000,12.53,0,0.17,N,4
22,39996,OWN,5.0,EDUCATION,C,3500,,0,0.09,N,2
25,80000,MORTGAGE,2.0,MEDICAL,A,5000,7.51,0,0.06,N,3
31,39000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,2200,7.49,1,0.06,N,6
25,65004,MORTGAGE,1.0,MEDICAL,C,5000,13.47,0,0.08,Y,3
25,40000,RENT,6.0,MEDICAL,B,10000,10.0,0,0.25,N,4
39,53000,RENT,15.0,EDUCATION,A,6500,7.29,0,0.12,N,17
25,28008,RENT,5.0,MEDICAL,B,4000,10.0,0,0.14,N,2
29,220000,MORTGAGE,13.0,DEBTCONSOLIDATION,B,8500,10.37,0,0.04,N,5
35,110000,MORTGAGE,7.0,VENTURE,B,6000,,0,0.05,N,6
26,30000,RENT,7.0,DEBTCONSOLIDATION,D,5000,14.42,1,0.17,N,4
34,80300,MORTGAGE,3.0,PERSONAL,C,15000,12.73,0,0.19,Y,9
41,60000,MORTGAGE,18.0,EDUCATION,D,4900,14.09,0,0.08,Y,12
36,33600,RENT,3.0,EDUCATION,B,12000,11.36,1,0.36,N,13
34,55000,RENT,4.0,MEDICAL,B,7000,8.88,0,0.13,N,9
21,40800,RENT,1.0,PERSONAL,A,10400,9.32,0,0.25,N,3
26,55000,MORTGAGE,4.0,PERSONAL,A,10000,7.51,1,0.18,N,2
37,39996,RENT,2.0,MEDICAL,A,1800,9.63,0,0.05,N,13
25,50000,RENT,0.0,HOMEIMPROVEMENT,B,6400,9.91,0,0.13,N,4
25,30000,RENT,3.0,EDUCATION,C,8500,13.98,0,0.28,Y,4
26,21600,RENT,9.0,VENTURE,B,7200,10.38,1,0.33,N,3
30,40000,RENT,2.0,MEDICAL,C,8500,12.53,0,0.21,N,8
24,57431,MORTGAGE,8.0,PERSONAL,A,4000,6.76,0,0.07,N,3
24,8400,RENT,,EDUCATION,C,1500,13.99,1,0.18,N,4
29,27048,RENT,5.0,DEBTCONSOLIDATION,B,3500,11.99,0,0.13,N,7
36,27600,RENT,1.0,MEDICAL,B,4000,11.86,0,0.14,N,12
29,42000,RENT,6.0,DEBTCONSOLIDATION,D,3500,12.67,1,0.08,N,5
29,144000,MORTGAGE,11.0,MEDICAL,B,7000,10.59,0,0.05,N,10
33,62004,RENT,3.0,EDUCATION,C,18500,12.87,0,0.3,N,9
32,188000,RENT,14.0,DEBTCONSOLIDATION,B,25000,10.62,1,0.13,N,5
28,72000,RENT,0.0,MEDICAL,A,6000,7.88,0,0.08,N,10
26,45000,RENT,10.0,DEBTCONSOLIDATION,A,15000,7.29,1,0.33,N,4
23,54000,RENT,2.0,DEBTCONSOLIDATION,D,6000,14.09,1,0.11,Y,3
24,79800,RENT,8.0,HOMEIMPROVEMENT,B,2500,9.62,0,0.03,N,2
21,150075,OWN,0.0,VENTURE,A,25000,7.49,0,0.17,N,2
22,32000,MORTGAGE,,EDUCATION,A,11050,7.49,0,0.35,N,2
27,63500,RENT,3.0,PERSONAL,B,4000,10.37,0,0.06,N,9
35,99800,MORTGAGE,9.0,PERSONAL,A,8000,7.14,0,0.08,N,9
22,55000,RENT,3.0,MEDICAL,A,2200,5.79,0,0.04,N,4
28,31000,MORTGAGE,0.0,VENTURE,B,11300,9.91,0,0.36,N,5
23,29000,RENT,7.0,EDUCATION,C,8000,12.73,1,0.28,N,3
28,48000,RENT,0.0,EDUCATION,B,10000,10.08,0,0.21,N,6
24,72400,MORTGAGE,4.0,HOMEIMPROVEMENT,C,35000,13.99,0,0.48,N,4
26,45000,RENT,0.0,MEDICAL,A,10800,6.17,0,0.24,N,3
38,80000,RENT,0.0,EDUCATION,B,1500,11.49,0,0.02,N,16
27,70392,MORTGAGE,9.0,VENTURE,B,1500,,0,0.02,N,9
33,84996,RENT,2.0,EDUCATION,A,4000,8.59,0,0.05,N,6
35,14400,OWN,2.0,DEBTCONSOLIDATION,B,5550,10.37,1,0.39,N,8
22,100000,RENT,3.0,VENTURE,B,10000,10.65,0,0.1,N,2
26,170000,RENT,3.0,DEBTCONSOLIDATION,C,24000,,0,0.14,Y,2
28,50000,RENT,7.0,VENTURE,C,14000,13.79,0,0.28,Y,6
23,51600,MORTGAGE,1.0,PERSONAL,B,4800,10.99,1,0.09,N,3
26,40000,RENT,0.0,VENTURE,C,1800,13.23,0,0.04,Y,3
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3
25,29000,RENT,2.0,VENTURE,C,2500,12.84,1,0.09,N,3
34,60353,RENT,13.0,PERSONAL,B,8500,10.65,0,0.14,N,8
28,80000,MORTGAGE,1.0,PERSONAL,A,3100,7.05,0,0.04,N,9
30,100000,MORTGAGE,11.0,EDUCATION,A,12800,6.92,0,0.13,N,8
30,30000,RENT,1.0,PERSONAL,B,14500,,1,0.48,N,8
36,74000,MORTGAGE,4.0,PERSONAL,C,10000,11.03,1,0.14,N,15
21,34416,RENT,5.0,EDUCATION,A,2300,6.76,0,0.07,N,2
24,69764,RENT,2.0,PERSONAL,D,1500,14.42,1,0.02,Y,4
21,36000,RENT,3.0,MEDICAL,A,15000,6.62,1,0.42,N,2
23,94000,RENT,7.0,MEDICAL,B,3500,11.49,0,0.04,N,3
28,39600,RENT,4.0,PERSONAL,C,4000,12.61,1,0.1,N,10
22,36000,RENT,0.0,PERSONAL,B,15850,11.48,1,0.44,N,3
25,100000,RENT,2.0,HOMEIMPROVEMENT,D,21000,16.49,1,0.21,Y,3
27,75400,MORTGAGE,3.0,MEDICAL,A,6000,7.74,0,0.08,N,9
29,88000,MORTGAGE,6.0,DEBTCONSOLIDATION,E,16000,16.45,1,0.18,N,8
31,45000,RENT,5.0,MEDICAL,A,14000,7.91,1,0.31,N,5
24,50496,MORTGAGE,3.0,PERSONAL,B,3000,11.99,0,0.06,N,3
22,26400,MORTGAGE,,HOMEIMPROVEMENT,A,1550,,1,0.06,N,2
22,52800,MORTGAGE,5.0,VENTURE,B,4000,10.99,0,0.08,N,2
35,79500,MORTGAGE,5.0,PERSONAL,D,9600,14.61,0,0.12,Y,5
23,53950,MORTGAGE,8.0,EDUCATION,E,15000,16.63,1,0.28,Y,2
26,122000,MORTGAGE,4.0,DEBTCONSOLIDATION,C,4800,,0,0.04,Y,2
29,65000,RENT,5.0,VENTURE,B,15000,11.83,0,0.23,N,9
35,91000,OWN,0.0,MEDICAL,A,10000,8.59,0,0.11,N,8
28,72000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,10000,10.95,0,0.14,N,7
30,65000,RENT,0.0,MEDICAL,C,16000,13.06,0,0.25,N,8
24,36000,RENT,1.0,DEBTCONSOLIDATION,A,3600,7.29,0,0.1,N,2
24,78000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,20000,10.37,0,0.26,N,2
25,47000,RENT,1.0,EDUCATION,A,8500,8.9,0,0.18,N,4
27,95800,RENT,1.0,DEBTCONSOLIDATION,B,2500,11.58,0,0.03,N,9
25,32400,MORTGAGE,9.0,PERSONAL,C,10000,13.99,0,0.31,Y,3
23,105000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,12000,10.25,0,0.11,N,3
29,62000,RENT,13.0,DEBTCONSOLIDATION,C,9000,,0,0.15,N,7
22,90000,MORTGAGE,6.0,PERSONAL,A,6400,5.99,0,0.07,N,2
29,48000,OWN,3.0,PERSONAL,C,9600,12.23,0,0.2,Y,8
21,50400,RENT,4.0,VENTURE,D,8000,15.62,0,0.16,Y,2
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3
34,138571,MORTGAGE,18.0,PERSONAL,D,25000,14.59,0,0.18,N,8
22,40320,RENT,0.0,DEBTCONSOLIDATION,C,12000,14.27,0,0.3,N,3
30,65004,MORTGAGE,3.0,PERSONAL,A,1500,5.99,0,0.02,N,9
23,60000,RENT,0.0,MEDICAL,C,16800,13.85,0,0.28,Y,2
21,56400,OWN,5.0,VENTURE,A,5000,6.54,0,0.09,N,2
23,50000,MORTGAGE,3.0,EDUCATION,A,10000,6.03,0,0.2,N,4
24,108000,MORTGAGE,4.0,PERSONAL,A,10000,5.99,0,0.09,N,2
26,35000,RENT,5.0,VENTURE,C,13225,13.49,1,0.38,Y,3
29,18000,RENT,5.0,VENTURE,B,7000,10.99,1,0.39,N,5
22,73000,MORTGAGE,3.0,MEDICAL,B,17000,11.99,0,0.23,N,3
23,10000,RENT,0.0,HOMEIMPROVEMENT,D,2500,14.59,1,0.25,Y,3
22,85000,MORTGAGE,0.0,VENTURE,B,12000,,0,0.14,N,3
26,65935,RENT,1.0,EDUCATION,D,24250,14.96,1,0.37,N,4
26,25000,OWN,7.0,VENTURE,A,11500,7.88,0,0.46,N,3
33,41000,RENT,2.0,VENTURE,A,6500,7.51,0,0.16,N,7
34,120000,OWN,4.0,VENTURE,B,7800,10.99,0,0.07,N,9
22,42000,RENT,0.0,VENTURE,C,4000,13.22,0,0.1,N,3
31,31600,MORTGAGE,4.0,MEDICAL,B,7500,11.36,0,0.24,N,10
24,140000,MORTGAGE,8.0,HOMEIMPROVEMENT,B,25000,10.36,0,0.18,N,2
25,26400,MORTGAGE,1.0,HOMEIMPROVEMENT,A,7500,8.9,0,0.28,N,3
32,40000,RENT,3.0,DEBTCONSOLIDATION,B,12000,11.89,0,0.3,N,10
27,100000,MORTGAGE,11.0,PERSONAL,F,9000,18.25,0,0.09,Y,6
28,100000,RENT,10.0,HOMEIMPROVEMENT,C,14400,13.85,0,0.14,N,9
23,84000,RENT,0.0,DEBTCONSOLIDATION,C,15000,11.34,0,0.18,Y,4
24,58155,RENT,8.0,HOMEIMPROVEMENT,E,12950,,0,0.22,N,4
38,36500,RENT,3.0,EDUCATION,A,12000,7.51,1,0.33,N,11
24,30000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,17000,11.99,1,0.57,N,3
24,78500,MORTGAGE,8.0,VENTURE,A,6000,7.49,0,0.08,N,4
30,33600,MORTGAGE,5.0,EDUCATION,A,9000,6.91,0,0.27,N,6
24,62400,RENT,8.0,VENTURE,B,20000,11.12,1,0.32,N,2
34,30857,RENT,6.0,VENTURE,C,3000,13.06,1,0.1,N,9
26,60000,MORTGAGE,3.0,EDUCATION,C,30000,14.27,0,0.5,N,4
22,32004,MORTGAGE,6.0,EDUCATION,A,10000,7.51,0,0.31,N,2
23,67476,MORTGAGE,5.0,HOMEIMPROVEMENT,C,25000,13.49,1,0.37,Y,3
23,27996,OWN,2.0,MEDICAL,B,9250,10.75,0,0.33,N,2
27,147884,MORTGAGE,4.0,HOMEIMPROVEMENT,B,4500,11.49,0,0.03,N,5
24,52000,RENT,1.0,MEDICAL,A,7000,7.74,0,0.13,N,4
30,14400,OWN,0.0,MEDICAL,D,5000,14.96,1,0.35,N,9
23,60000,RENT,7.0,MEDICAL,A,20000,7.9,1,0.33,N,2
31,51000,RENT,4.0,EDUCATION,B,6625,10.38,0,0.13,N,10
24,16000,RENT,2.0,DEBTCONSOLIDATION,D,4200,,1,0.26,N,4
40,133000,RENT,2.0,EDUCATION,D,35000,14.54,1,0.26,Y,17
28,76000,RENT,4.0,DEBTCONSOLIDATION,A,3400,8.49,0,0.04,N,5
22,71000,RENT,6.0,EDUCATION,A,1500,6.99,0,0.02,N,3
28,30144,RENT,,EDUCATION,D,15000,15.95,1,0.5,Y,7
23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4
29,32000,MORTGAGE,13.0,PERSONAL,A,8000,5.99,0,0.25,N,6
22,102000,MORTGAGE,3.0,MEDICAL,A,18000,8.49,0,0.18,N,3
22,96000,MORTGAGE,3.0,EDUCATION,A,20000,7.88,0,0.21,N,3
31,351699,RENT,7.0,VENTURE,D,10500,15.7,0,0.03,N,6
29,46400,MORTGAGE,0.0,EDUCATION,A,12000,7.51,0,0.26,N,10
24,59600,RENT,8.0,HOMEIMPROVEMENT,A,10000,5.99,0,0.17,N,3
32,49000,RENT,16.0,MEDICAL,B,6300,9.91,0,0.13,N,8
25,109000,MORTGAGE,5.0,PERSONAL,B,15000,10.25,0,0.14,N,2
22,71201,MORTGAGE,3.0,MEDICAL,B,12000,11.71,0,0.17,N,4
39,80000,MORTGAGE,18.0,MEDICAL,C,5600,13.43,0,0.07,N,17
27,50000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,15000,9.88,0,0.3,N,5
33,55259,RENT,15.0,EDUCATION,D,11200,17.49,0,0.2,N,5
26,65000,MORTGAGE,3.0,VENTURE,A,10000,7.29,0,0.15,N,3
27,64000,RENT,2.0,DEBTCONSOLIDATION,C,5000,12.99,0,0.08,N,8
22,41900,RENT,3.0,EDUCATION,A,10500,8.49,0,0.25,N,2
22,29000,RENT,0.0,HOMEIMPROVEMENT,D,4200,,1,0.14,N,2
28,115000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,25000,7.49,0,0.22,N,6
22,60000,MORTGAGE,6.0,EDUCATION,A,6000,6.62,0,0.1,N,3
29,62004,MORTGAGE,0.0,MEDICAL,B,12000,11.11,0,0.19,N,7
27,80500,RENT,2.0,PERSONAL,A,8000,8.49,0,0.1,N,9
41,92000,MORTGAGE,15.0,MEDICAL,A,12000,7.66,0,0.13,N,15
26,100000,RENT,0.0,DEBTCONSOLIDATION,C,15000,14.26,0,0.15,Y,2
24,85000,OWN,8.0,VENTURE,A,22000,6.54,0,0.26,N,4
29,36100,MORTGAGE,2.0,PERSONAL,C,14000,14.27,0,0.39,N,5
26,25000,RENT,2.0,MEDICAL,B,5000,12.69,0,0.2,N,3
24,87663,MORTGAGE,5.0,HOMEIMPROVEMENT,B,14400,,0,0.16,N,2
23,30652,MORTGAGE,4.0,DEBTCONSOLIDATION,D,6000,14.54,1,0.2,Y,2
27,17000,RENT,2.0,VENTURE,D,4000,14.42,1,0.24,N,8
30,82500,RENT,5.0,VENTURE,A,2400,8.9,0,0.03,N,5
28,84500,MORTGAGE,13.0,HOMEIMPROVEMENT,C,9600,15.27,0,0.11,N,5
24,120000,MORTGAGE,3.0,MEDICAL,A,4800,5.99,0,0.04,N,4
31,43000,RENT,1.0,MEDICAL,B,5000,9.99,0,0.12,N,10
30,38000,RENT,2.0,EDUCATION,A,6500,7.14,0,0.17,N,9
29,39000,RENT,2.0,PERSONAL,E,3000,16.7,1,0.08,Y,7
38,41280,RENT,3.0,DEBTCONSOLIDATION,C,6000,13.61,0,0.15,Y,17
21,12000,RENT,1.0,EDUCATION,C,1000,13.98,0,0.08,N,2
35,52000,RENT,2.0,MEDICAL,B,3000,11.48,0,0.06,N,6
36,69000,RENT,20.0,VENTURE,C,35000,,1,0.51,N,15
22,33996,RENT,1.0,EDUCATION,D,14900,15.37,1,0.44,Y,2
27,65000,MORTGAGE,5.0,VENTURE,B,10000,12.42,0,0.15,N,6
25,29000,RENT,2.0,MEDICAL,C,2500,12.84,1,0.09,Y,4
29,38000,RENT,5.0,EDUCATION,A,1000,7.88,0,0.03,N,9
24,30000,MORTGAGE,4.0,MEDICAL,D,10000,15.99,1,0.33,Y,2
48,32304,MORTGAGE,22.0,MEDICAL,B,15000,9.63,0,0.46,N,17
39,39996,RENT,9.0,EDUCATION,A,8000,7.14,0,0.2,N,16
30,16500,RENT,0.0,VENTURE,C,4000,14.22,1,0.24,Y,7
25,93000,MORTGAGE,9.0,VENTURE,D,12000,16.77,0,0.13,Y,4
25,38000,RENT,8.0,PERSONAL,A,6000,6.99,0,0.16,N,4
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2
27,47000,RENT,11.0,MEDICAL,B,1300,10.46,0,0.03,N,8
32,41000,RENT,17.0,MEDICAL,C,3000,,0,0.07,Y,7
24,75000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,12000,12.61,0,0.16,N,4
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,3
25,47004,RENT,1.0,DEBTCONSOLIDATION,C,8000,12.53,0,0.17,Y,4
22,41600,RENT,0.0,EDUCATION,C,2400,12.22,0,0.06,Y,2
43,36480,RENT,0.0,PERSONAL,B,18000,11.71,1,0.49,N,16
25,40000,RENT,9.0,DEBTCONSOLIDATION,B,8000,12.42,0,0.2,N,2
24,70000,MORTGAGE,2.0,PERSONAL,B,8950,11.89,0,0.13,N,3
30,250000,OWN,8.0,MEDICAL,D,15000,15.99,0,0.06,Y,8
25,59436,MORTGAGE,1.0,DEBTCONSOLIDATION,A,7500,6.76,0,0.13,N,3
24,42000,RENT,0.0,MEDICAL,A,12000,7.66,0,0.29,N,2
36,63000,MORTGAGE,7.0,MEDICAL,A,4200,7.14,0,0.07,N,13
26,84191,MORTGAGE,5.0,MEDICAL,A,9000,6.62,0,0.11,N,4
37,33600,RENT,3.0,PERSONAL,B,8000,,0,0.24,N,17
25,180000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,6000,12.42,0,0.03,N,4
35,52500,RENT,3.0,HOMEIMPROVEMENT,B,12000,10.36,0,0.23,N,8
22,53000,RENT,6.0,EDUCATION,B,5000,9.91,0,0.09,N,2
25,24996,RENT,2.0,EDUCATION,A,9250,8.59,1,0.37,N,4
28,34000,RENT,,PERSONAL,A,5000,7.9,1,0.15,N,5
31,105400,RENT,2.0,MEDICAL,D,24250,15.31,1,0.2,N,5
22,48000,RENT,2.0,EDUCATION,B,11000,10.75,0,0.23,N,4
26,62004,MORTGAGE,3.0,MEDICAL,B,4000,9.99,0,0.06,N,2
22,36000,RENT,6.0,VENTURE,B,12000,11.49,1,0.33,N,2
23,90000,RENT,7.0,EDUCATION,B,10000,12.69,0,0.11,N,4
23,46800,OWN,7.0,VENTURE,C,9000,,0,0.19,N,4
26,34000,RENT,2.0,MEDICAL,B,13000,9.63,1,0.38,N,2
26,82000,MORTGAGE,1.0,VENTURE,C,5000,13.47,0,0.06,Y,2
24,41160,RENT,2.0,DEBTCONSOLIDATION,A,4000,,0,0.1,N,3
23,90000,MORTGAGE,7.0,MEDICAL,B,21000,12.42,0,0.23,N,2
24,16000,RENT,2.0,EDUCATION,D,4200,,1,0.26,N,2
42,45000,RENT,1.0,DEBTCONSOLIDATION,B,18200,10.83,1,0.4,N,14
22,83000,OWN,6.0,EDUCATION,D,25000,15.95,0,0.3,N,2
28,42000,RENT,0.0,EDUCATION,B,12000,11.11,0,0.29,N,9
23,68000,RENT,1.0,EDUCATION,B,7500,11.49,0,0.11,N,3
27,20000,RENT,4.0,PERSONAL,C,3250,,1,0.16,N,5
22,46000,RENT,2.0,DEBTCONSOLIDATION,D,20000,16.0,1,0.43,Y,4
29,83700,RENT,3.0,PERSONAL,C,19000,,0,0.23,N,10
23,52800,RENT,4.0,VENTURE,C,14000,14.27,0,0.27,N,3
22,60612,MORTGAGE,6.0,PERSONAL,B,5300,,0,0.09,N,4
26,48000,RENT,4.0,MEDICAL,B,3000,10.14,0,0.06,N,3
25,30000,RENT,6.0,DEBTCONSOLIDATION,B,8000,10.74,0,0.27,N,3
23,16500,OWN,6.0,VENTURE,B,4375,9.63,1,0.27,N,4
23,36000,OWN,7.0,VENTURE,D,8000,15.65,0,0.22,N,4
24,92000,MORTGAGE,9.0,PERSONAL,E,25000,17.93,0,0.27,Y,2
24,58000,RENT,5.0,EDUCATION,C,17500,13.49,0,0.3,Y,4
33,40000,MORTGAGE,12.0,PERSONAL,A,3200,5.42,0,0.08,N,8
24,45000,RENT,1.0,EDUCATION,A,10000,6.54,0,0.22,N,3
27,120000,MORTGAGE,10.0,DEBTCONSOLIDATION,A,7000,5.99,0,0.06,N,5
23,30000,RENT,4.0,DEBTCONSOLIDATION,C,7925,15.27,0,0.26,Y,4
42,97600,RENT,0.0,EDUCATION,A,7000,8.9,0,0.07,N,13
22,57000,MORTGAGE,6.0,EDUCATION,B,11400,12.53,0,0.2,N,3
35,51000,RENT,5.0,EDUCATION,C,5000,12.98,0,0.1,Y,10
22,21600,MORTGAGE,,EDUCATION,A,4025,5.42,0,0.19,N,4
25,145000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,8000,8.49,0,0.06,N,3
23,29000,RENT,6.0,MEDICAL,D,7750,14.59,1,0.27,Y,3
50,90000,MORTGAGE,2.0,VENTURE,B,24000,11.36,0,0.27,N,13
21,65000,MORTGAGE,2.0,VENTURE,B,8400,11.86,0,0.13,N,4
33,102000,MORTGAGE,17.0,VENTURE,E,35000,,0,0.34,Y,8
25,45600,RENT,3.0,MEDICAL,D,12250,14.84,1,0.27,N,3
28,64900,MORTGAGE,12.0,DEBTCONSOLIDATION,D,25000,15.37,1,0.39,N,6
24,67000,OWN,3.0,VENTURE,C,13000,,0,0.19,Y,3
29,190000,MORTGAGE,3.0,EDUCATION,B,14000,,0,0.07,N,6
25,33600,RENT,2.0,MEDICAL,C,10000,11.03,0,0.3,Y,4
29,118374,MORTGAGE,13.0,VENTURE,C,3500,13.49,0,0.03,Y,6
29,135000,MORTGAGE,10.0,VENTURE,B,11000,11.83,0,0.08,N,7
24,52000,MORTGAGE,2.0,EDUCATION,B,18000,11.71,0,0.35,N,3
27,45600,MORTGAGE,3.0,DEBTCONSOLIDATION,A,1450,8.49,0,0.03,N,9
30,32004,OWN,4.0,VENTURE,A,5500,8.0,0,0.17,N,9
42,98603,MORTGAGE,19.0,MEDICAL,C,24250,14.22,1,0.21,N,14
21,22000,RENT,4.0,DEBTCONSOLIDATION,A,2500,7.14,0,0.11,N,4
26,30000,MORTGAGE,10.0,VENTURE,A,6500,6.62,0,0.22,N,3
25,250000,MORTGAGE,4.0,EDUCATION,A,10575,6.99,0,0.04,N,2
37,63000,RENT,1.0,DEBTCONSOLIDATION,C,3200,,0,0.05,N,11
24,185000,MORTGAGE,,EDUCATION,B,35000,12.42,0,0.19,N,2
25,55315,RENT,3.0,EDUCATION,B,15000,10.74,0,0.27,N,2
29,32000,MORTGAGE,2.0,VENTURE,A,12000,7.88,0,0.38,N,6
36,144000,MORTGAGE,0.0,PERSONAL,C,7600,15.23,0,0.05,N,16
25,23000,RENT,0.0,EDUCATION,C,2100,13.48,0,0.09,Y,4
29,54000,RENT,5.0,HOMEIMPROVEMENT,C,10000,13.49,1,0.19,Y,9
28,38000,RENT,8.0,DEBTCONSOLIDATION,B,9000,9.96,0,0.24,N,9
22,28956,RENT,2.0,VENTURE,A,3300,8.49,0,0.11,N,3
31,66000,RENT,3.0,PERSONAL,B,21000,10.37,1,0.32,N,10
24,72000,MORTGAGE,8.0,EDUCATION,C,14000,14.65,1,0.19,Y,4
25,28800,MORTGAGE,9.0,HOMEIMPROVEMENT,B,6250,10.25,0,0.22,N,2
29,48000,RENT,6.0,MEDICAL,B,6025,10.65,0,0.13,N,9
25,150000,RENT,2.0,HOMEIMPROVEMENT,A,8750,7.74,0,0.06,N,2
31,55560,RENT,11.0,EDUCATION,B,6000,11.99,0,0.11,N,6
58,100000,RENT,6.0,EDUCATION,A,12000,8.9,0,0.12,N,30
